proteinid,method,start,end,length,rna_class,position,signature,uniprot_accession,frac_A,frac_C,frac_D,frac_E,frac_F,frac_G,frac_H,frac_I,frac_K,frac_L,frac_M,frac_N,frac_P,frac_Q,frac_R,frac_S,frac_T,frac_V,frac_W,frac_Y,frac_polar,frac_hydrophobic,frac_strong_hydro,frac_aromatic,frac_disorder,frac_positive,frac_negative,fcr,ncpr,frac_GS,n_RG_motifs,RG_repeat_cluster,RG_repeat_region,n_SR_motifs,SR_repeat_cluster,SR_repeat_region,n_GS_motifs,GS_repeat_cluster,GS_repeat_region,polar_n_runs,polar_mean_run_length,polar_max_run_length,polar_mean_gap,polar_cv_gap,polar_label,hydrophobic_n_runs,hydrophobic_mean_run_length,hydrophobic_max_run_length,hydrophobic_mean_gap,hydrophobic_cv_gap,hydrophobic_label,aromatic_n_runs,aromatic_mean_run_length,aromatic_max_run_length,aromatic_mean_gap,aromatic_cv_gap,aromatic_label,disorder_n_runs,disorder_mean_run_length,disorder_max_run_length,disorder_mean_gap,disorder_cv_gap,disorder_label,charged_n_runs,charged_mean_run_length,charged_max_run_length,charged_mean_gap,charged_cv_gap,charged_label,cooc_positive_aromatic,uniprot_length,coverage_per_lcr
Q05048,AlcoR,98,171,74,mRNA,unclassified_no_pfam,aromatic_sticker_region,Q05048,0.0945945945945946,0.02702702702702703,0.05405405405405406,0.08108108108108109,0.0,0.04054054054054054,0.02702702702702703,0.06756756756756757,0.04054054054054054,0.05405405405405406,0.06756756756756757,0.04054054054054054,0.04054054054054054,0.04054054054054054,0.05405405405405406,0.06756756756756757,0.0945945945945946,0.05405405405405406,0.0,0.05405405405405406,0.5540540540540541,0.6216216216216216,0.2972972972972973,0.08108108108108109,0.4594594594594595,0.0945945945945946,0.1351351351351351,0.2297297297297297,-0.04054054054054054,0.1081081081081081,0,0,False,1,0,False,1,0,False,19,2.157894736842105,5,1.833333333333333,0.5529784118452926,dispersed,20,2.3,5,1.368421052631579,0.4865042554105198,dispersed,6,1.0,1,13.2,1.25071145960539,dispersed,21,1.619047619047619,4,1.8,0.6478835438717001,dispersed,15,1.133333333333333,2,4.071428571428571,0.5370255391232971,dispersed,0.4210526315789473,431.0,0.1716937354988399
Q05048,AlcoR,183,246,64,mRNA,unclassified_no_pfam,aromatic_sticker_region,Q05048,0.0625,0.0,0.0625,0.046875,0.0625,0.046875,0.03125,0.078125,0.0625,0.109375,0.015625,0.0,0.0625,0.046875,0.0625,0.109375,0.0625,0.015625,0.0,0.0625,0.546875,0.609375,0.34375,0.15625,0.5,0.125,0.109375,0.234375,0.015625,0.15625,0,0,False,2,0,False,2,0,False,19,1.842105263157895,5,1.5,0.6758625033664688,dispersed,18,2.166666666666667,6,1.411764705882353,0.4249182927993987,dispersed,9,1.111111111111111,2,5.0,0.6324555320336759,dispersed,14,2.285714285714286,8,2.153846153846154,0.5997448437052381,dispersed,13,1.153846153846154,2,3.833333333333333,0.7741084267289068,dispersed,0.8979591836734694,431.0,0.14849187935034802
Q05048,AlcoR,328,355,28,mRNA,unclassified_no_pfam,aromatic_sticker_region,Q05048,0.07142857142857142,0.0,0.0,0.03571428571428571,0.0,0.1428571428571428,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.1071428571428571,0.0,0.0,0.0,0.03571428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.03571428571428571,0.03571428571428571,0.5357142857142857,0.7142857142857143,0.3214285714285715,0.1071428571428571,0.5357142857142857,0.1428571428571428,0.03571428571428571,0.1785714285714286,0.1071428571428571,0.25,0,0,False,0,0,False,1,0,False,9,1.666666666666667,3,1.625,0.6105579948610594,dispersed,7,2.857142857142857,6,1.166666666666667,0.3194382824999699,dispersed,3,1.0,1,10.0,0.0,dispersed,8,1.875,4,1.571428571428571,0.4635472285084349,dispersed,5,1.0,1,4.25,0.5359078575967234,dispersed,0.5454545454545454,431.0,0.06496519721577726
Q05048,AlcoR,378,401,24,mRNA,unclassified_no_pfam,aromatic_sticker_region,Q05048,0.04166666666666666,0.08333333333333333,0.04166666666666666,0.04166666666666666,0.0,0.04166666666666666,0.04166666666666666,0.04166666666666666,0.0,0.1666666666666667,0.0,0.125,0.0,0.0,0.1666666666666667,0.08333333333333333,0.04166666666666666,0.04166666666666666,0.04166666666666666,0.0,0.5833333333333334,0.5416666666666666,0.2916666666666667,0.08333333333333333,0.375,0.1666666666666667,0.08333333333333333,0.25,0.08333333333333333,0.125,0,0,False,1,0,False,0,0,False,5,2.8,5,1.75,0.2474358296526968,dispersed,5,2.6,4,2.5,0.447213595499958,dispersed,2,1.0,1,14.0,0.0,dispersed,5,1.8,4,2.5,0.6633249580710799,dispersed,4,1.5,3,4.666666666666667,0.9636241116594314,dispersed,0.2105263157894737,431.0,0.05568445475638051
Q05639,AlcoR,21,41,21,tRNA,domain_intrinsic,aromatic_sticker_region,Q05639,0.0,0.04761904761904762,0.04761904761904762,0.04761904761904762,0.0,0.1428571428571428,0.04761904761904762,0.1428571428571428,0.1428571428571428,0.04761904761904762,0.0,0.0,0.0,0.0,0.04761904761904762,0.04761904761904762,0.1904761904761905,0.0,0.0,0.04761904761904762,0.6190476190476191,0.8095238095238095,0.2380952380952381,0.09523809523809523,0.4285714285714285,0.1904761904761905,0.09523809523809523,0.2857142857142857,0.09523809523809523,0.1904761904761905,0,0,False,0,0,False,0,0,False,5,2.6,4,2.0,0.6123724356957945,dispersed,4,4.25,13,1.0,0.0,dispersed,2,1.0,1,2.0,0.0,dispersed,6,1.5,2,2.4,0.4249182927993988,dispersed,3,2.0,3,3.0,0.3333333333333333,dispersed,0.2352941176470588,463.0,0.04535637149028078
Q05639,AlcoR,76,90,15,tRNA,domain_intrinsic,hydrophobic_region,Q05639,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.2,0.1333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.0,0.06666666666666667,0.1333333333333333,0.6666666666666666,0.8666666666666667,0.5333333333333333,0.2666666666666667,0.2666666666666667,0.1333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667,0,0,False,0,0,False,0,0,False,4,2.5,6,1.0,0.0,dispersed,2,6.5,9,1.0,0.0,compact,3,1.333333333333333,2,2.5,0.6,dispersed,4,1.0,1,1.666666666666667,0.282842712474619,dispersed,3,1.0,1,1.5,0.3333333333333333,dispersed,0.8181818181818182,463.0,0.032397408207343416
Q9NR97,AlcoR,932,1041,110,ncRNA,unclassified_no_pfam,aromatic_sticker_region,Q9NR97,0.03636363636363636,0.00909090909090909,0.04545454545454546,0.03636363636363636,0.04545454545454546,0.00909090909090909,0.00909090909090909,0.06363636363636363,0.08181818181818182,0.1272727272727273,0.03636363636363636,0.07272727272727272,0.02727272727272727,0.08181818181818182,0.05454545454545454,0.07272727272727272,0.04545454545454546,0.06363636363636363,0.02727272727272727,0.05454545454545454,0.5818181818181818,0.6090909090909091,0.4181818181818182,0.1363636363636364,0.4,0.1363636363636364,0.08181818181818182,0.2181818181818182,0.05454545454545454,0.08181818181818182,0,0,False,1,0,False,0,0,False,24,2.666666666666667,9,1.91304347826087,0.7378492309430876,dispersed,23,2.91304347826087,13,1.954545454545455,0.5449011401795341,dispersed,13,1.153846153846154,2,6.916666666666667,0.6995218490117967,dispersed,24,1.833333333333333,5,2.739130434782609,0.8071861673073726,dispersed,21,1.142857142857143,2,3.8,0.7090628202793411,dispersed,1.0,1041.0,0.10566762728146013
O60828,AlcoR,1,23,23,mRNA,unclassified_no_pfam,unmapped_physicochemical_properties,O60828,0.08695652173913043,0.0,0.0,0.08695652173913043,0.0,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.08695652173913043,0.2173913043478261,0.04347826086956522,0.0,0.1304347826086956,0.04347826086956522,0.08695652173913043,0.0,0.04347826086956522,0.04347826086956522,0.0,0.0,0.391304347826087,0.6521739130434783,0.3478260869565217,0.04347826086956522,0.5652173913043478,0.1739130434782609,0.08695652173913043,0.2608695652173913,0.08695652173913043,0.04347826086956522,1,0,False,0,0,False,0,0,False,5,1.8,3,1.75,0.4738035414793428,dispersed,6,2.5,6,1.0,0.0,dispersed,1,1.0,1,,,dispersed,8,1.625,4,1.285714285714286,0.3513641844631533,dispersed,5,1.2,2,2.0,0.3535533905932738,dispersed,0.2105263157894737,265.0,0.08679245283018867
O60828,AlcoR,25,123,99,mRNA,unclassified_no_pfam,aromatic_sticker_region,O60828,0.06060606060606061,0.0101010101010101,0.1515151515151515,0.09090909090909091,0.0101010101010101,0.0303030303030303,0.04040404040404041,0.0202020202020202,0.08080808080808081,0.0707070707070707,0.0,0.0303030303030303,0.0707070707070707,0.0,0.0505050505050505,0.1212121212121212,0.0303030303030303,0.0505050505050505,0.0303030303030303,0.0505050505050505,0.6767676767676768,0.4848484848484849,0.2323232323232323,0.1313131313131313,0.5050505050505051,0.1313131313131313,0.2424242424242424,0.3737373737373738,-0.1111111111111111,0.1515151515151515,1,0,False,3,0,False,0,0,False,21,3.190476190476191,10,1.6,0.6059599821770411,dispersed,26,1.846153846153846,5,1.92,0.6059599821770413,dispersed,10,1.3,3,8.444444444444445,0.8300952787151319,dispersed,26,1.923076923076923,5,1.96,0.6203544552477822,dispersed,23,1.608695652173913,3,2.818181818181818,0.9487381399904995,dispersed,0.8289473684210527,265.0,0.37358490566037733
O60828,AlcoR,131,265,135,mRNA,unclassified_no_pfam,mixed_charge_polyampholyte,O60828,0.08888888888888889,0.0,0.1259259259259259,0.0962962962962963,0.007407407407407408,0.06666666666666667,0.02222222222222222,0.0,0.08148148148148149,0.03703703703703703,0.007407407407407408,0.01481481481481482,0.07407407407407407,0.02962962962962963,0.162962962962963,0.07407407407407407,0.04444444444444445,0.02222222222222222,0.007407407407407408,0.03703703703703703,0.6962962962962963,0.4222222222222222,0.1185185185185185,0.07407407407407407,0.674074074074074,0.2444444444444444,0.2222222222222222,0.4666666666666667,0.02222222222222222,0.1407407407407407,4,0,False,2,0,False,0,0,False,25,3.76,14,1.708333333333333,0.7647031905654089,dispersed,29,1.96551724137931,5,2.571428571428572,1.020620726159658,dispersed,9,1.111111111111111,2,12.625,0.5101652684351783,dispersed,32,2.84375,8,1.387096774193548,0.3960322410680558,dispersed,26,2.423076923076923,14,2.84,0.8945602539831222,dispersed,1.0,265.0,0.5094339622641509
O43719,AlcoR,1,357,357,mRNA,domain_edge,aromatic_sticker_region,O43719,0.05322128851540616,0.01400560224089636,0.1036414565826331,0.09523809523809523,0.04201680672268908,0.07282913165266107,0.01680672268907563,0.03641456582633053,0.0896358543417367,0.07282913165266107,0.02240896358543417,0.03081232492997199,0.04761904761904762,0.05322128851540616,0.05882352941176471,0.04481792717086835,0.04761904761904762,0.04761904761904762,0.01680672268907563,0.03361344537815126,0.5910364145658263,0.5658263305322129,0.2717086834733893,0.1092436974789916,0.5154061624649859,0.1484593837535014,0.1988795518207283,0.3473389355742297,-0.05042016806722689,0.1176470588235294,1,0,False,1,0,False,3,0,False,101,2.089108910891089,7,1.45,0.6120082534240983,dispersed,91,2.21978021978022,7,1.7,0.6817779863024984,dispersed,34,1.147058823529412,3,9.181818181818182,0.7447054126864363,dispersed,90,2.044444444444444,13,1.932584269662921,0.6195612467328939,dispersed,79,1.569620253164557,5,2.91025641025641,0.8183049130836525,dispersed,1.0,755.0,0.4728476821192053
Q14694,AlcoR,780,798,19,mRNA,distal_terminal,aromatic_sticker_region,Q14694,0.1052631578947368,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0.2105263157894737,0.0,0.0,0.05263157894736842,0.0,0.1578947368421053,0.0,0.1052631578947368,0.05263157894736842,0.0,0.1578947368421053,0.5789473684210527,0.6842105263157895,0.4210526315789473,0.1578947368421053,0.4210526315789473,0.2105263157894737,0.1052631578947368,0.3157894736842105,0.1052631578947368,0.0,0,0,False,0,0,False,0,0,False,6,1.833333333333333,4,1.2,0.3333333333333334,dispersed,5,2.6,7,1.5,0.3333333333333333,dispersed,2,1.5,2,2.0,0.0,dispersed,4,2.0,3,2.333333333333333,0.8081220356417685,dispersed,4,1.5,2,3.666666666666667,0.6803013430498075,dispersed,0.4,798.0,0.023809523809523808
Q96DP5,AlcoR,1,86,86,tRNA,unclassified_no_pfam,aromatic_sticker_region,Q96DP5,0.1046511627906977,0.02325581395348837,0.04651162790697674,0.09302325581395349,0.03488372093023256,0.05813953488372093,0.02325581395348837,0.01162790697674419,0.03488372093023256,0.1046511627906977,0.02325581395348837,0.01162790697674419,0.06976744186046512,0.02325581395348837,0.1744186046511628,0.02325581395348837,0.02325581395348837,0.06976744186046512,0.04651162790697674,0.0,0.5,0.5581395348837209,0.2906976744186047,0.1046511627906977,0.5813953488372093,0.2093023255813954,0.1395348837209302,0.3488372093023256,0.06976744186046512,0.08139534883720931,1,0,False,1,0,False,0,0,False,21,2.047619047619047,7,2.05,0.5662530129875074,dispersed,20,2.4,6,2.0,0.5380275868489703,dispersed,8,1.125,2,7.142857142857143,0.4578209256903839,dispersed,21,2.380952380952381,10,1.55,0.5577940795416318,dispersed,18,1.666666666666667,4,3.0,0.7754399973837329,dispersed,1.0,389.0,0.2210796915167095
Q9NVM6,AlcoR,97,112,16,unknown,distal_terminal,disorder_rich_spacer_region,Q9NVM6,0.1875,0.0,0.0625,0.1875,0.0,0.0,0.0,0.0,0.0625,0.125,0.0,0.0,0.0,0.1875,0.125,0.0625,0.0,0.0,0.0,0.0,0.6875,0.375,0.125,0.0,0.8125,0.1875,0.25,0.4375,-0.0625,0.0625,0,0,False,0,0,False,0,0,False,6,1.833333333333333,4,1.0,0.0,dispersed,5,1.2,2,1.75,0.7423074889580903,dispersed,0,,0,,,insufficient,2,6.5,12,3.0,0.0,compact,5,1.4,3,2.0,0.8660254037844386,dispersed,0.0,304.0,0.05263157894736842
Q9NVM6,AlcoR,133,146,14,unknown,domain_adjacent,acidic_region,Q9NVM6,0.0,0.0,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.1428571428571428,0.0,0.0,0.0,0.2142857142857143,0.1428571428571428,0.07142857142857142,0.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.2142857142857143,0.0,0.7857142857142857,0.1428571428571428,0.2857142857142857,0.4285714285714285,-0.1428571428571428,0.1428571428571428,0,0,False,1,0,False,1,0,False,3,3.333333333333333,5,1.0,0.0,compact,3,1.333333333333333,2,4.0,0.25,dispersed,0,,0,,,insufficient,2,5.5,6,1.0,0.0,compact,4,1.5,2,2.0,0.0,dispersed,0.0,304.0,0.046052631578947366
Q9NVM6,AlcoR,155,175,21,unknown,domain_adjacent,disorder_rich_spacer_region,Q9NVM6,0.04761904761904762,0.0,0.04761904761904762,0.09523809523809523,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.04761904761904762,0.04761904761904762,0.09523809523809523,0.09523809523809523,0.0,0.09523809523809523,0.0,0.0,0.0,0.6190476190476191,0.5714285714285714,0.1428571428571428,0.0,0.6666666666666666,0.2380952380952381,0.1428571428571428,0.3809523809523809,0.09523809523809523,0.1428571428571428,1,0,False,0,0,False,0,0,False,8,1.625,4,1.0,0.0,dispersed,6,2.0,4,1.2,0.3333333333333334,dispersed,0,,0,,,insufficient,5,2.8,5,1.25,0.3464101615137755,dispersed,8,1.0,1,1.714285714285714,0.8079466429027214,dispersed,0.0,304.0,0.06907894736842106
Q9NVM6,AlcoR,206,241,36,unknown,domain_edge,unmapped_physicochemical_properties,Q9NVM6,0.1388888888888889,0.0,0.02777777777777778,0.08333333333333333,0.02777777777777778,0.05555555555555555,0.0,0.0,0.08333333333333333,0.1111111111111111,0.0,0.08333333333333333,0.05555555555555555,0.02777777777777778,0.0,0.05555555555555555,0.05555555555555555,0.1944444444444444,0.0,0.0,0.4166666666666667,0.6666666666666666,0.3333333333333333,0.02777777777777778,0.5,0.08333333333333333,0.1111111111111111,0.1944444444444444,-0.02777777777777778,0.1111111111111111,0,0,False,0,0,False,0,0,False,9,1.666666666666667,4,2.5,0.3464101615137755,dispersed,6,4.0,7,1.6,0.5,dispersed,1,1.0,1,,,dispersed,10,1.8,6,1.555555555555556,0.614451804788759,dispersed,6,1.166666666666667,2,4.2,0.3158690276528953,dispersed,0.2142857142857143,304.0,0.11842105263157894
Q9UKV8,AlcoR,57,80,24,ncRNA,distal_terminal,mixed_charge_polyampholyte,Q9UKV8,0.0,0.04166666666666666,0.04166666666666666,0.1666666666666667,0.0,0.0,0.04166666666666666,0.08333333333333333,0.08333333333333333,0.04166666666666666,0.04166666666666666,0.04166666666666666,0.08333333333333333,0.04166666666666666,0.125,0.0,0.0,0.125,0.0,0.04166666666666666,0.5833333333333334,0.5,0.3333333333333333,0.08333333333333333,0.5,0.2083333333333333,0.2083333333333333,0.4166666666666667,0.0,0.0,0,0,False,0,0,False,0,0,False,8,1.75,3,1.428571428571429,0.3464101615137755,dispersed,7,1.714285714285714,3,1.833333333333333,0.4895604370122277,dispersed,2,1.0,1,19.0,0.0,dispersed,6,2.0,4,2.2,0.3401506715249037,dispersed,7,1.428571428571429,2,1.5,0.3333333333333333,dispersed,0.1052631578947368,859.0,0.027939464493597205
